M154;(OSTEO)ARTROSIS EROSIVA|
W24X;CONTACTO TRAUMATICO CON DISPOSITIVOS DE ELEVACION Y TRANSMISION, NO CLASIFICADOS EN OTRA PARTE|
W243;CONTACTO TRAUMATICO CON DISPOSITIVOS DE ELEVACION Y TRANSMISION, NO CLASIFICADOS EN OTRA PARTE, EN A|
W246;CONTACTO TRAUMATICO CON DISPOSITIVOS DE ELEVACION Y TRANSMISION, NO CLASIFICADOS EN OTRA PARTE, EN A|
W244;CONTACTO TRAUMATICO CON DISPOSITIVOS DE ELEVACION Y TRANSMISION, NO CLASIFICADOS EN OTRA PARTE, EN C|
W245;CONTACTO TRAUMATICO CON DISPOSITIVOS DE ELEVACION Y TRANSMISION, NO CLASIFICADOS EN OTRA PARTE, EN C|
W242;CONTACTO TRAUMATICO CON DISPOSITIVOS DE ELEVACION Y TRANSMISION, NO CLASIFICADOS EN OTRA PARTE, EN E|
W247;CONTACTO TRAUMATICO CON DISPOSITIVOS DE ELEVACION Y TRANSMISION, NO CLASIFICADOS EN OTRA PARTE, EN G|
W241;CONTACTO TRAUMATICO CON DISPOSITIVOS DE ELEVACION Y TRANSMISION, NO CLASIFICADOS EN OTRA PARTE, EN I|
W249;CONTACTO TRAUMATICO CON DISPOSITIVOS DE ELEVACION Y TRANSMISION, NO CLASIFICADOS EN OTRA PARTE, EN L|
W248;CONTACTO TRAUMATICO CON DISPOSITIVOS DE ELEVACION Y TRANSMISION, NO CLASIFICADOS EN OTRA PARTE, EN O|
W240;CONTACTO TRAUMATICO CON DISPOSITIVOS DE ELEVACION Y TRANSMISION, NO CLASIFICADOS EN OTRA PARTE, EN V|
X22X;CONTACTO TRAUMATICO CON ESCORPION|
X226;CONTACTO TRAUMATICO CON ESCORPION, EN AREA INDUSTRIAL Y DE LA CONSTRUCCION|
X223;CONTACTO TRAUMATICO CON ESCORPION, EN AREAS DE DEPORTE Y ATLETISMO|
X224;CONTACTO TRAUMATICO CON ESCORPION, EN CALLES Y CARRETERAS|
X225;CONTACTO TRAUMATICO CON ESCORPION, EN COMERCIO Y AREA DE SERVICIOS|
X222;CONTACTO TRAUMATICO CON ESCORPION, EN ESCUELAS, OTRAS INSTITUCIONES Y AREAS ADMINISTRATIVAS PUBLICAS|
X227;CONTACTO TRAUMATICO CON ESCORPION, EN GRANJA|
X221;CONTACTO TRAUMATICO CON ESCORPION, EN INSTITUCION RESIDENCIAL|
X229;CONTACTO TRAUMATICO CON ESCORPION, EN LUGAR NO ESPECIFICADO|
X228;CONTACTO TRAUMATICO CON ESCORPION, EN OTRO LUGAR ESPECIFICADO|
X220;CONTACTO TRAUMATICO CON ESCORPION, EN VIVIENDA|
W27X;CONTACTO TRAUMATICO CON HERRAMIENTAS MANUALES SIN MOTOR|
W276;CONTACTO TRAUMATICO CON HERRAMIENTAS MANUALES SIN MOTOR, EN AREA INDUSTRIAL Y DE LA CONSTRUCCION|
W273;CONTACTO TRAUMATICO CON HERRAMIENTAS MANUALES SIN MOTOR, EN AREAS DE DEPORTE Y ATLETISMO|
W274;CONTACTO TRAUMATICO CON HERRAMIENTAS MANUALES SIN MOTOR, EN CALLES Y CARRETERAS|
W275;CONTACTO TRAUMATICO CON HERRAMIENTAS MANUALES SIN MOTOR, EN COMERCIO Y AREA DE SERVICIOS|
W272;CONTACTO TRAUMATICO CON HERRAMIENTAS MANUALES SIN MOTOR, EN ESCUELAS, OTRAS INSTITUCIONES Y AREAS AD|
W277;CONTACTO TRAUMATICO CON HERRAMIENTAS MANUALES SIN MOTOR, EN GRANJA|
W271;CONTACTO TRAUMATICO CON HERRAMIENTAS MANUALES SIN MOTOR, EN INSTITUCION RESIDENCIAL|
W279;CONTACTO TRAUMATICO CON HERRAMIENTAS MANUALES SIN MOTOR, EN LUGAR NO ESPECIFICADO|
W278;CONTACTO TRAUMATICO CON HERRAMIENTAS MANUALES SIN MOTOR, EN OTRO LUGAR ESPECIFICADO|
W270;CONTACTO TRAUMATICO CON HERRAMIENTAS MANUALES SIN MOTOR, EN VIVIENDA|
W30X;CONTACTO TRAUMATICO CON MAQUINARIA AGRICOLA|
W306;CONTACTO TRAUMATICO CON MAQUINARIA AGRICOLA, EN AREA INDUSTRIAL Y DE LA CONSTRUCCION|
W303;CONTACTO TRAUMATICO CON MAQUINARIA AGRICOLA, EN AREAS DE DEPORTE Y ATLETISMO|
W304;CONTACTO TRAUMATICO CON MAQUINARIA AGRICOLA, EN CALLES Y CARRETERAS|
W305;CONTACTO TRAUMATICO CON MAQUINARIA AGRICOLA, EN COMERCIO Y AREA DE SERVICIOS|
W302;CONTACTO TRAUMATICO CON MAQUINARIA AGRICOLA, EN ESCUELAS, OTRAS INSTITUCIONES Y AREAS ADMINISTRATIVA|
W307;CONTACTO TRAUMATICO CON MAQUINARIA AGRICOLA, EN GRANJA|
W301;CONTACTO TRAUMATICO CON MAQUINARIA AGRICOLA, EN INSTITUCION RESIDENCIAL|
W309;CONTACTO TRAUMATICO CON MAQUINARIA AGRICOLA, EN LUGAR NO ESPECIFICADO|
W308;CONTACTO TRAUMATICO CON MAQUINARIA AGRICOLA, EN OTRO LUGAR ESPECIFICADO|
W300;CONTACTO TRAUMATICO CON MAQUINARIA AGRICOLA, EN VIVIENDA|
Y25X;CONTACTO TRAUMATICO CON MATERIAL EXPLOSIVO, DE INTENCION NO DETERMINADA|
Y256;CONTACTO TRAUMATICO CON MATERIAL EXPLOSIVO, DE INTENCION NO DETERMINADA, EN AREA INDUSTRIAL Y DE LA|
Y253;CONTACTO TRAUMATICO CON MATERIAL EXPLOSIVO, DE INTENCION NO DETERMINADA, EN AREAS DE DEPORTE Y ATLET|
Y254;CONTACTO TRAUMATICO CON MATERIAL EXPLOSIVO, DE INTENCION NO DETERMINADA, EN CALLES Y CARRETERAS|
Y255;CONTACTO TRAUMATICO CON MATERIAL EXPLOSIVO, DE INTENCION NO DETERMINADA, EN COMERCIO Y AREA DE SERVI|
Y252;CONTACTO TRAUMATICO CON MATERIAL EXPLOSIVO, DE INTENCION NO DETERMINADA, EN ESCUELAS, OTRAS INSTITUC|
Y257;CONTACTO TRAUMATICO CON MATERIAL EXPLOSIVO, DE INTENCION NO DETERMINADA, EN GRANJA|
Y251;CONTACTO TRAUMATICO CON MATERIAL EXPLOSIVO, DE INTENCION NO DETERMINADA, EN INSTITUCION RESIDENCIAL|
Y259;CONTACTO TRAUMATICO CON MATERIAL EXPLOSIVO, DE INTENCION NO DETERMINADA, EN LUGAR NO ESPECIFICADO|
Y258;CONTACTO TRAUMATICO CON MATERIAL EXPLOSIVO, DE INTENCION NO DETERMINADA, EN OTRO LUGAR ESPECIFICADO|
Y250;CONTACTO TRAUMATICO CON MATERIAL EXPLOSIVO, DE INTENCION NO DETERMINADA, EN VIVIENDA|
Y28X;CONTACTO TRAUMATICO CON OBJETO CORTANTE, DE INTENCION NO DETERMINADA|
Y286;CONTACTO TRAUMATICO CON OBJETO CORTANTE, DE INTENCION NO DETERMINADA, EN AREA INDUSTRIAL Y DE LA CON|
Y283;CONTACTO TRAUMATICO CON OBJETO CORTANTE, DE INTENCION NO DETERMINADA, EN AREAS DE DEPORTE Y ATLETISM|
Y284;CONTACTO TRAUMATICO CON OBJETO CORTANTE, DE INTENCION NO DETERMINADA, EN CALLES Y CARRETERAS|
Y285;CONTACTO TRAUMATICO CON OBJETO CORTANTE, DE INTENCION NO DETERMINADA, EN COMERCIO Y AREA DE SERVICIO|
Y282;CONTACTO TRAUMATICO CON OBJETO CORTANTE, DE INTENCION NO DETERMINADA, EN ESCUELAS, OTRAS INSTITUCION|
Y287;CONTACTO TRAUMATICO CON OBJETO CORTANTE, DE INTENCION NO DETERMINADA, EN GRANJA|
Y281;CONTACTO TRAUMATICO CON OBJETO CORTANTE, DE INTENCION NO DETERMINADA, EN INSTITUCION RESIDENCIAL|
Y289;CONTACTO TRAUMATICO CON OBJETO CORTANTE, DE INTENCION NO DETERMINADA, EN LUGAR NO ESPECIFICADO|
Y288;CONTACTO TRAUMATICO CON OBJETO CORTANTE, DE INTENCION NO DETERMINADA, EN OTRO LUGAR ESPECIFICADO|
Y280;CONTACTO TRAUMATICO CON OBJETO CORTANTE, DE INTENCION NO DETERMINADA, EN VIVIENDA|
Y29X;CONTACTO TRAUMATICO CON OBJETO ROMO O SIN FILO, DE INTENCION NO DETERMINADA|
Y296;CONTACTO TRAUMATICO CON OBJETO ROMO O SIN FILO, DE INTENCION NO DETERMINADA, EN AREA INDUSTRIAL Y DE|
Y293;CONTACTO TRAUMATICO CON OBJETO ROMO O SIN FILO, DE INTENCION NO DETERMINADA, EN AREAS DE DEPORTE Y A|
Y294;CONTACTO TRAUMATICO CON OBJETO ROMO O SIN FILO, DE INTENCION NO DETERMINADA, EN CALLES Y CARRETERAS|
Y295;CONTACTO TRAUMATICO CON OBJETO ROMO O SIN FILO, DE INTENCION NO DETERMINADA, EN COMERCIO Y AREA DE S|
Y292;CONTACTO TRAUMATICO CON OBJETO ROMO O SIN FILO, DE INTENCION NO DETERMINADA, EN ESCUELAS, OTRAS INST|
Y297;CONTACTO TRAUMATICO CON OBJETO ROMO O SIN FILO, DE INTENCION NO DETERMINADA, EN GRANJA|
Y291;CONTACTO TRAUMATICO CON OBJETO ROMO O SIN FILO, DE INTENCION NO DETERMINADA, EN INSTITUCION RESIDENC|
Y299;CONTACTO TRAUMATICO CON OBJETO ROMO O SIN FILO, DE INTENCION NO DETERMINADA, EN LUGAR NO ESPECIFICAD|
Y298;CONTACTO TRAUMATICO CON OBJETO ROMO O SIN FILO, DE INTENCION NO DETERMINADA, EN OTRO LUGAR ESPECIFIC|
Y290;CONTACTO TRAUMATICO CON OBJETO ROMO O SIN FILO, DE INTENCION NO DETERMINADA, EN VIVIENDA|
W29X;CONTACTO TRAUMATICO CON OTRAS HERRAMIENTAS MANUALES Y ARTEFACTOS DEL HOGAR, CON MOTOR|
W296;CONTACTO TRAUMATICO CON OTRAS HERRAMIENTAS MANUALES Y ARTEFACTOS DEL HOGAR, CON MOTOR, EN AREA INDUS|
W293;CONTACTO TRAUMATICO CON OTRAS HERRAMIENTAS MANUALES Y ARTEFACTOS DEL HOGAR, CON MOTOR, EN AREAS DE D|
W294;CONTACTO TRAUMATICO CON OTRAS HERRAMIENTAS MANUALES Y ARTEFACTOS DEL HOGAR, CON MOTOR, EN CALLES Y C|
W295;CONTACTO TRAUMATICO CON OTRAS HERRAMIENTAS MANUALES Y ARTEFACTOS DEL HOGAR, CON MOTOR, EN COMERCIO Y|
W292;CONTACTO TRAUMATICO CON OTRAS HERRAMIENTAS MANUALES Y ARTEFACTOS DEL HOGAR, CON MOTOR, EN ESCUELAS,|
W297;CONTACTO TRAUMATICO CON OTRAS HERRAMIENTAS MANUALES Y ARTEFACTOS DEL HOGAR, CON MOTOR, EN GRANJA|
W291;CONTACTO TRAUMATICO CON OTRAS HERRAMIENTAS MANUALES Y ARTEFACTOS DEL HOGAR, CON MOTOR, EN INSTITUCIO|
W299;CONTACTO TRAUMATICO CON OTRAS HERRAMIENTAS MANUALES Y ARTEFACTOS DEL HOGAR, CON MOTOR, EN LUGAR NO E|
W298;CONTACTO TRAUMATICO CON OTRAS HERRAMIENTAS MANUALES Y ARTEFACTOS DEL HOGAR, CON MOTOR, EN OTRO LUGAR|
W290;CONTACTO TRAUMATICO CON OTRAS HERRAMIENTAS MANUALES Y ARTEFACTOS DEL HOGAR, CON MOTOR, EN VIVIENDA|
W31X;CONTACTO TRAUMATICO CON OTRAS MAQUINARIAS, Y LAS NO ESPECIFICADAS|
W316;CONTACTO TRAUMATICO CON OTRAS MAQUINARIAS, Y LAS NO ESPECIFICADAS, EN AREA INDUSTRIAL Y DE LA CONSTR|
W313;CONTACTO TRAUMATICO CON OTRAS MAQUINARIAS, Y LAS NO ESPECIFICADAS, EN AREAS DE DEPORTE Y ATLETISMO|
W314;CONTACTO TRAUMATICO CON OTRAS MAQUINARIAS, Y LAS NO ESPECIFICADAS, EN CALLES Y CARRETERAS|
W315;CONTACTO TRAUMATICO CON OTRAS MAQUINARIAS, Y LAS NO ESPECIFICADAS, EN COMERCIO Y AREA DE SERVICIOS|
W312;CONTACTO TRAUMATICO CON OTRAS MAQUINARIAS, Y LAS NO ESPECIFICADAS, EN ESCUELAS, OTRAS INSTITUCIONES|
W317;CONTACTO TRAUMATICO CON OTRAS MAQUINARIAS, Y LAS NO ESPECIFICADAS, EN GRANJA|
W311;CONTACTO TRAUMATICO CON OTRAS MAQUINARIAS, Y LAS NO ESPECIFICADAS, EN INSTITUCION RESIDENCIAL|
W319;CONTACTO TRAUMATICO CON OTRAS MAQUINARIAS, Y LAS NO ESPECIFICADAS, EN LUGAR NO ESPECIFICADO|
W318;CONTACTO TRAUMATICO CON OTRAS MAQUINARIAS, Y LAS NO ESPECIFICADAS, EN OTRO LUGAR ESPECIFICADO|
W310;CONTACTO TRAUMATICO CON OTRAS MAQUINARIAS, Y LAS NO ESPECIFICADAS, EN VIVIENDA|
X28X;CONTACTO TRAUMATICO CON OTRAS PLANTAS VENENOSAS ESPECIFICADAS|
X286;CONTACTO TRAUMATICO CON OTRAS PLANTAS VENENOSAS ESPECIFICADAS, EN AREA INDUSTRIAL Y DE LA CONSTRUCCI|
X283;CONTACTO TRAUMATICO CON OTRAS PLANTAS VENENOSAS ESPECIFICADAS, EN AREAS DE DEPORTE Y ATLETISMO|
X284;CONTACTO TRAUMATICO CON OTRAS PLANTAS VENENOSAS ESPECIFICADAS, EN CALLES Y CARRETERAS|
X285;CONTACTO TRAUMATICO CON OTRAS PLANTAS VENENOSAS ESPECIFICADAS, EN COMERCIO Y AREA DE SERVICIOS|
X282;CONTACTO TRAUMATICO CON OTRAS PLANTAS VENENOSAS ESPECIFICADAS, EN ESCUELAS, OTRAS INSTITUCIONES Y AR|
X287;CONTACTO TRAUMATICO CON OTRAS PLANTAS VENENOSAS ESPECIFICADAS, EN GRANJA|
X281;CONTACTO TRAUMATICO CON OTRAS PLANTAS VENENOSAS ESPECIFICADAS, EN INSTITUCION RESIDENCIAL|
X289;CONTACTO TRAUMATICO CON OTRAS PLANTAS VENENOSAS ESPECIFICADAS, EN LUGAR NO ESPECIFICADO|
X288;CONTACTO TRAUMATICO CON OTRAS PLANTAS VENENOSAS ESPECIFICADAS, EN OTRO LUGAR ESPECIFICADO|
X280;CONTACTO TRAUMATICO CON OTRAS PLANTAS VENENOSAS ESPECIFICADAS, EN VIVIENDA|
X27X;CONTACTO TRAUMATICO CON OTROS ANIMALES VENENOSOS ESPECIFICADOS|
X276;CONTACTO TRAUMATICO CON OTROS ANIMALES VENENOSOS ESPECIFICADOS, EN AREA INDUSTRIAL Y DE LA CONSTRUCC|
X273;CONTACTO TRAUMATICO CON OTROS ANIMALES VENENOSOS ESPECIFICADOS, EN AREAS DE DEPORTE Y ATLETISMO|
X274;CONTACTO TRAUMATICO CON OTROS ANIMALES VENENOSOS ESPECIFICADOS, EN CALLES Y CARRETERAS|
X275;CONTACTO TRAUMATICO CON OTROS ANIMALES VENENOSOS ESPECIFICADOS, EN COMERCIO Y AREA DE SERVICIOS|
X272;CONTACTO TRAUMATICO CON OTROS ANIMALES VENENOSOS ESPECIFICADOS, EN ESCUELAS, OTRAS INSTITUCIONES Y A|
X277;CONTACTO TRAUMATICO CON OTROS ANIMALES VENENOSOS ESPECIFICADOS, EN GRANJA|
X271;CONTACTO TRAUMATICO CON OTROS ANIMALES VENENOSOS ESPECIFICADOS, EN INSTITUCION RESIDENCIAL|
X279;CONTACTO TRAUMATICO CON OTROS ANIMALES VENENOSOS ESPECIFICADOS, EN LUGAR NO ESPECIFICADO|
X278;CONTACTO TRAUMATICO CON OTROS ANIMALES VENENOSOS ESPECIFICADOS, EN OTRO LUGAR ESPECIFICADO|
X270;CONTACTO TRAUMATICO CON OTROS ANIMALES VENENOSOS ESPECIFICADOS, EN VIVIENDA|
X25X;CONTACTO TRAUMATICO CON OTROS ARTROPODOS VENENOSOS ESPECIFICADOS|
X256;CONTACTO TRAUMATICO CON OTROS ARTROPODOS VENENOSOS ESPECIFICADOS, EN AREA INDUSTRIAL Y DE LA CONSTRU|
X253;CONTACTO TRAUMATICO CON OTROS ARTROPODOS VENENOSOS ESPECIFICADOS, EN AREAS DE DEPORTE Y ATLETISMO|
X254;CONTACTO TRAUMATICO CON OTROS ARTROPODOS VENENOSOS ESPECIFICADOS, EN CALLES Y CARRETERAS|
X255;CONTACTO TRAUMATICO CON OTROS ARTROPODOS VENENOSOS ESPECIFICADOS, EN COMERCIO Y AREA DE SERVICIOS|
X252;CONTACTO TRAUMATICO CON OTROS ARTROPODOS VENENOSOS ESPECIFICADOS, EN ESCUELAS, OTRAS INSTITUCIONES Y|
X257;CONTACTO TRAUMATICO CON OTROS ARTROPODOS VENENOSOS ESPECIFICADOS, EN GRANJA|
X251;CONTACTO TRAUMATICO CON OTROS ARTROPODOS VENENOSOS ESPECIFICADOS, EN INSTITUCION RESIDENCIAL|
X259;CONTACTO TRAUMATICO CON OTROS ARTROPODOS VENENOSOS ESPECIFICADOS, EN LUGAR NO ESPECIFICADO|
X258;CONTACTO TRAUMATICO CON OTROS ARTROPODOS VENENOSOS ESPECIFICADOS, EN OTRO LUGAR ESPECIFICADO|
X250;CONTACTO TRAUMATICO CON OTROS ARTROPODOS VENENOSOS ESPECIFICADOS, EN VIVIENDA|
X20X;CONTACTO TRAUMATICO CON SERPIENTES Y LAGARTOS VENENOSOS|
X206;CONTACTO TRAUMATICO CON SERPIENTES Y LAGARTOS VENENOSOS, EN AREA INDUSTRIAL Y DE LA CONSTRUCCION|
X203;CONTACTO TRAUMATICO CON SERPIENTES Y LAGARTOS VENENOSOS, EN AREAS DE DEPORTE Y ATLETISMO|
X204;CONTACTO TRAUMATICO CON SERPIENTES Y LAGARTOS VENENOSOS, EN CALLES Y CARRETERAS|
X205;CONTACTO TRAUMATICO CON SERPIENTES Y LAGARTOS VENENOSOS, EN COMERCIO Y AREA DE SERVICIOS|
X202;CONTACTO TRAUMATICO CON SERPIENTES Y LAGARTOS VENENOSOS, EN ESCUELAS, OTRAS INSTITUCIONES Y AREAS AD|
X207;CONTACTO TRAUMATICO CON SERPIENTES Y LAGARTOS VENENOSOS, EN GRANJA|
X201;CONTACTO TRAUMATICO CON SERPIENTES Y LAGARTOS VENENOSOS, EN INSTITUCION RESIDENCIAL|
X209;CONTACTO TRAUMATICO CON SERPIENTES Y LAGARTOS VENENOSOS, EN LUGAR NO ESPECIFICADO|
X208;CONTACTO TRAUMATICO CON SERPIENTES Y LAGARTOS VENENOSOS, EN OTRO LUGAR ESPECIFICADO|
X200;CONTACTO TRAUMATICO CON SERPIENTES Y LAGARTOS VENENOSOS, EN VIVIENDA|
W25X;CONTACTO TRAUMATICO CON VIDRIO CORTANTE|
W256;CONTACTO TRAUMATICO CON VIDRIO CORTANTE, EN AREA INDUSTRIAL Y DE LA CONSTRUCCION|
W253;CONTACTO TRAUMATICO CON VIDRIO CORTANTE, EN AREAS DE DEPORTE Y ATLETISMO|
W254;CONTACTO TRAUMATICO CON VIDRIO CORTANTE, EN CALLES Y CARRETERAS|
W255;CONTACTO TRAUMATICO CON VIDRIO CORTANTE, EN COMERCIO Y AREA DE SERVICIOS|
W252;CONTACTO TRAUMATICO CON VIDRIO CORTANTE, EN ESCUELAS, OTRAS INSTITUCIONES Y AREAS ADMINISTRATIVAS PU|
W257;CONTACTO TRAUMATICO CON VIDRIO CORTANTE, EN GRANJA|
W251;CONTACTO TRAUMATICO CON VIDRIO CORTANTE, EN INSTITUCION RESIDENCIAL|
W259;CONTACTO TRAUMATICO CON VIDRIO CORTANTE, EN LUGAR NO ESPECIFICADO|
W258;CONTACTO TRAUMATICO CON VIDRIO CORTANTE, EN OTRO LUGAR ESPECIFICADO|
W250;CONTACTO TRAUMATICO CON VIDRIO CORTANTE, EN VIVIENDA|
O620;CONTRACCION PRIMARIAS INADECUADAS|
O624;CONTRACCIONES UTERINAS HIPERTONICAS, INCOORDINADAS Y PROLONGADAS|
M245;CONTRACTURA ARTICULAR|
M624;CONTRACTURA MUSCULAR|
Z001;CONTROL DE SALUD DE RUTINA DEL NIÑO|
Z103;CONTROL GENERAL DE SALUD DE RUTINA A INTEGRANTES DE EQUIPOS DEPORTIVOS|
Z102;CONTROL GENERAL DE SALUD DE RUTINA A MIEMBROS DE LAS FUERZAS ARMADAS|
Z101;CONTROL GENERAL DE SALUD DE RUTINA DE RESIDENTES DE INSTITUCIONES|
S902;CONTUSION DE DEDO(S) DEL PIE CON DAÑO DE LA(S) UÑA(S)|
S901;CONTUSION DE DEDO(S) DEL PIE SIN DAÑO DE LA(S) UÑA(S)|
S700;CONTUSION DE LA CADERA|
S100;CONTUSION DE LA GARGANTA|
S200;CONTUSION DE LA MAMA|
S301;CONTUSION DE LA PARED ABDOMINAL|
S300;CONTUSION DE LA REGION LUMBOSACRA Y DE LA PELVIS|
S800;CONTUSION DE LA RODILLA|
S001;CONTUSION DE LOS PARPADOS Y DE LA REGION PERIOCULAR|
S302;CONTUSION DE ORGANOS GENITALES EXTERNOS|
S602;CONTUSION DE OTRAS PARTES DE LA MUÑECA Y DE LA MANO|
S501;CONTUSION DE OTRAS PARTES DEL ANTEBRAZO Y DE LAS NO ESPECIFICADAS|
S903;CONTUSION DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DEL PIE|
S801;CONTUSION DE OTRAS PARTES Y LAS NO ESPECIFICADAS DE LA PIERNA|
S500;CONTUSION DEL CODO|
S051;CONTUSION DEL GLOBO OCULAR Y DEL TEJIDO ORBITARIO|
S400;CONTUSION DEL HOMBRO Y DEL BRAZO|
S701;CONTUSION DEL MUSLO|
S900;CONTUSION DEL TOBILLO|
S202;CONTUSION DEL TORAX|
Z540;CONVALECENCIA CONSECUTIVA A CIRUGIA|
Z548;CONVALECENCIA CONSECUTIVA A OTROS TRATAMIENTOS|
Z543;CONVALECENCIA CONSECUTIVA A PSICOTERAPIA|
Z542;CONVALECENCIA CONSECUTIVA A QUIMIOTERAPIA|
Z541;CONVALECENCIA CONSECUTIVA A RADIOTERAPIA|
Z547;CONVALECENCIA CONSECUTIVA A TRATAMIENTO COMBINADO|
Z544;CONVALECENCIA CONSECUTIVA A TRATAMIENTO DE FRACTURA|
Z549;CONVALECENCIA CONSECUTIVA A TRATAMIENTO NO ESPECIFICADO|
P90X;CONVULSIONES DEL RECIEN NACIDO|
F445;CONVULSIONES DISOCIATIVAS|
R560;CONVULSIONES FEBRILES|
Q242;CORAZON TRIAURICULAR|
G254;COREA INDUCIDA POR DROGAS|
I020;COREA REUMATICA CON COMPLICACION CARDIACA|
I029;COREA REUMATICA SIN MENCION DE COMPLICACION CARDIACA|
A872;CORIOMENINGITIS LINFOCITICA|
H301;CORIORRETINITIS DISEMINADA|
H300;CORIORRETINITIS FOCAL|
H309;CORIORRETINITIS, NO ESPECIFICADA|
B972;CORONAVIRUS COMO CAUSA DE ENFERMEDADES CLASIFICADAS EN OTROS CAPITULOS|
XXX1;Corregir el DiagnOstico|
XXX2;Corregir el DiagnOstico|
XXX3;Corregir el DiagnOstico|
XXX4;Corregir el DiagnOstico|
XXX5;Corregir el DiagnOstico|
T267;CORROSION CON RUPTURA Y DESTRUCCION RESULTANTES DEL GLOBO OCULAR|
T285;CORROSION DE LA BOCA Y DE LA FARINGE|
T205;CORROSION DE LA CABEZA Y DEL CUELLO, DE PRIMER GRADO|
T206;CORROSION DE LA CABEZA Y DEL CUELLO, DE SEGUNDO GRADO|
T207;CORROSION DE LA CABEZA Y DEL CUELLO, DE TERCER GRADO|
T204;CORROSION DE LA CABEZA Y DEL CUELLO, GRADO NO ESPECIFICADO|
T245;CORROSION DE LA CADERA Y MIEMBRO INFERIOR, DE PRIMER GRADO, EXCEPTO TOBILLO Y PIE|
T246;CORROSION DE LA CADERA Y MIEMBRO INFERIOR, DE SEGUNDO GRADO, EXCEPTO TOBILLO Y PIE|
T247;CORROSION DE LA CADERA Y MIEMBRO INFERIOR, DE TERCER GRADO, EXCEPTO TOBILLO Y PIE|
T244;CORROSION DE LA CADERA Y MIEMBRO INFERIOR, GRADO NO ESPECIFICADO, EXCEPTO TOBILLO Y PIE|
T266;CORROSION DE LA CORNEA Y SACO CONJUNTIVAL|
T274;CORROSION DE LA LARINGE Y DE LA TRAQUEA|
T235;CORROSION DE LA MUÑECA Y DE LA MANO, DE PRIMER GRADO|
T236;CORROSION DE LA MUÑECA Y DE LA MANO, DE SEGUNDO GRADO|
T237;CORROSION DE LA MUÑECA Y DE LA MANO, DE TERCER GRADO|
T234;CORROSION DE LA MUÑECA Y DE LA MANO, GRADO NO ESPECIFICADO|
T277;CORROSION DE LAS VIAS RESPIRATORIAS, PARTE NO ESPECIFICADA|
T288;CORROSION DE ORGANOS GENITOURINARIOS INTERNOS|
T276;CORROSION DE OTRAS PARTES DE LAS VIAS RESPIRATORIAS|
T268;CORROSION DE OTRAS PARTES DEL OJO Y SUS ANEXOS|
T287;CORROSION DE OTRAS PARTES DEL TUBO DIGESTIVO|
T289;CORROSION DE OTROS ORGANOS INTERNOS Y DE LOS NO ESPECIFICADOS|
T305;CORROSION DE PRIMER GRADO, REGION DEL CUERPO NO ESPECIFICADA|
T304;CORROSION DE REGION DEL CUERPO Y GRADO NO ESPECIFICADOS|
T306;CORROSION DE SEGUNDO GRADO, REGION DEL CUERPO NO ESPECIFICADA|
T307;CORROSION DE TERCER GRADO, REGION DEL CUERPO NO ESPECIFICADA|
T286;CORROSION DEL ESOFAGO|
T225;CORROSION DEL HOMBRO Y MIEMBRO SUPERIOR, DE PRIMER GRADO, EXCEPTO DE LA MUÑECA Y DE LA MANO|
T226;CORROSION DEL HOMBRO Y MIEMBRO SUPERIOR, DE SEGUNDO GRADO, EXCEPTO DE LA MUÑECA Y DE LA MANO|
T227;CORROSION DEL HOMBRO Y MIEMBRO SUPERIOR, DE TERCER GRADO, EXCEPTO DE LA MUÑECA Y DE LA MANO|
T224;CORROSION DEL HOMBRO Y MIEMBRO SUPERIOR, GRADO NO ESPECIFICADO, EXCEPTO DE LA MUÑECA Y DE LA MANO|
T269;CORROSION DEL OJO Y SUS ANEXOS, PARTE NO ESPECIFICADA|
T265;CORROSION DEL PARPADO Y AREA PERIOCULAR|
T255;CORROSION DEL TOBILLO Y DEL PIE, DE PRIMER GRADO|
T256;CORROSION DEL TOBILLO Y DEL PIE, DE SEGUNDO GRADO|
T257;CORROSION DEL TOBILLO Y DEL PIE, DE TERCER GRADO|
T254;CORROSION DEL TOBILLO Y DEL PIE, GRADO NO ESPECIFICADO|
T215;CORROSION DEL TRONCO, DE PRIMER GRADO|
T216;CORROSION DEL TRONCO, DE SEGUNDO GRADO|
T217;CORROSION DEL TRONCO, DE TERCER GRADO|
T214;CORROSION DEL TRONCO, GRADO NO ESPECIFICADO|
T275;CORROSION QUE AFECTA LA LARINGE Y LA TRAQUEA CON EL PULMON|
T294;CORROSIONES DE MULTIPLES REGIONES, GRADO NO ESPECIFICADO|
T297;CORROSIONES MULTIPLES, CON MENCION AL MENOS DE UNA CORROSION DE TERCER GRADO|
T295;CORROSIONES MULTIPLES, MENCIONADAS COMO DE NO MAS DE PRIMER GRADO|
T296;CORROSIONES MULTIPLES, MENCIONADAS COMO DE NO MAS DE SEGUNDO GRADO|
T321;CORROSIONES QUE AFECTAN DEL 10 AL 19% DE LA SUPERFICIE DEL CUERPO|
T322;CORROSIONES QUE AFECTAN DEL 20 AL 29% DE LA SUPERFICIE DEL CUERPO|
T323;CORROSIONES QUE AFECTAN DEL 30 AL 39% DE LA SUPERFICIE DEL CUERPO|
T324;CORROSIONES QUE AFECTAN DEL 40 AL 49% DE LA SUPERFICIE DEL CUERPO|
