idsolicitud,fechahora,idusuario,descontado,totalentregado
"000006709","2020-02-28 11:03:22","KESPIRITU","0.00","1500.00"
"000006711","2020-02-28 10:51:58","KESPIRITU","0.00","200.00"
"000006712","2020-02-29 12:23:09","KESPIRITU","0.00","300.00"
"000006713","2020-02-29 12:04:30","KESPIRITU","0.00","400.00"
"000006714","2020-02-28 10:51:18","KESPIRITU","0.00","1000.00"
"000006715","2020-02-29 12:28:10","KESPIRITU","0.00","400.00"
"000006716","2020-02-28 11:03:52","KESPIRITU","0.00","400.00"
"000006717","2020-02-28 10:56:18","KESPIRITU","0.00","200.00"
"000006718","2020-02-28 10:55:18","KESPIRITU","0.00","300.00"
"000006719","2020-02-28 12:21:31","KESPIRITU","0.00","1200.00"
"000006720","2020-02-28 16:16:30","KESPIRITU","0.00","300.00"
"000006721","2020-02-28 11:58:19","KESPIRITU","0.00","1000.00"
"000006722","2020-02-28 16:49:26","KESPIRITU","0.00","4500.00"
"000006723","2020-02-28 18:26:45","KESPIRITU","0.00","300.00"
"000006724","2020-02-28 19:59:50","KESPIRITU","0.00","4000.00"
"000006725","2020-02-28 16:38:53","KESPIRITU","0.00","400.00"
"000006726","2020-02-29 10:22:41","KESPIRITU","0.00","300.00"
"000006728","2020-02-29 10:15:41","KESPIRITU","0.00","200.00"
"000006729","2020-02-29 10:17:18","KESPIRITU","0.00","200.00"
"000006730","2020-02-29 12:25:03","KESPIRITU","0.00","200.00"
"000006731","2020-02-29 12:53:32","KESPIRITU","0.00","1800.00"
"000006732","2020-02-29 16:50:41","KESPIRITU","0.00","600.00"
"000006733","2020-02-29 12:35:51","KESPIRITU","0.00","400.00"
"000006734","2020-02-29 10:15:06","KESPIRITU","0.00","500.00"
"000006735","2020-02-29 11:27:30","KESPIRITU","0.00","1200.00"
"000006736","2020-02-29 12:13:43","KESPIRITU","0.00","200.00"
"000006737","2020-02-29 10:43:41","KESPIRITU","0.00","600.00"
"000006738","2020-02-29 12:25:35","KESPIRITU","0.00","1000.00"
"000006739","2020-02-29 10:43:25","KESPIRITU","0.00","1600.00"
"000006740","2020-02-29 11:34:51","KESPIRITU","0.00","500.00"
"000006741","2020-02-29 10:36:58","KESPIRITU","0.00","1000.00"
"000006742","2020-02-29 12:20:50","KESPIRITU","0.00","1000.00"
"000006743","2020-02-29 11:36:04","KESPIRITU","0.00","500.00"
"000006744","2020-02-29 10:38:29","KESPIRITU","0.00","600.00"
"000006745","2020-03-03 12:00:46","KESPIRITU","0.00","660.00"
"000006746","2020-02-29 12:35:50","KESPIRITU","0.00","1500.00"
"000006747","2020-02-29 11:47:49","KESPIRITU","0.00","1100.00"
"000006748","2020-02-29 12:37:14","KESPIRITU","0.00","1000.00"
"000006749","2020-02-29 11:46:20","KESPIRITU","0.00","1100.00"
"000006750","2020-02-29 11:20:06","KESPIRITU","0.00","500.00"
"000006751","2020-02-29 12:23:48","KESPIRITU","0.00","100.00"
"000006752","2020-02-29 10:59:14","KESPIRITU","0.00","800.00"
"000006753","2020-02-29 12:44:50","KESPIRITU","0.00","500.00"
"000006754","2020-02-29 12:24:25","KESPIRITU","0.00","100.00"
"000006755","2020-02-29 10:00:29","KESPIRITU","0.00","100.00"
"000006756","2020-02-29 10:40:59","KESPIRITU","0.00","1100.00"
"000006757","2020-02-29 10:39:33","KESPIRITU","0.00","1500.00"
"000006758","2020-02-29 13:23:09","KESPIRITU","0.00","2000.00"
"000006759","2020-02-29 11:22:54","KESPIRITU","0.00","1000.00"
"000006760","2020-02-29 11:52:32","KESPIRITU","0.00","700.00"
"000006761","2020-02-29 12:11:57","KESPIRITU","0.00","250.00"
"000006762","2020-02-29 14:05:23","KESPIRITU","0.00","1500.00"
"000006763","2020-02-29 17:03:02","KESPIRITU","0.00","1800.00"
"000006764","2020-02-29 13:42:39","KESPIRITU","0.00","1000.00"
"000006765","2020-02-29 12:07:24","KESPIRITU","0.00","700.00"
"000006766","2020-02-29 15:24:53","KESPIRITU","0.00","300.00"
"000006768","2020-02-29 15:12:44","KESPIRITU","0.00","600.00"
"000006769","2020-02-29 15:01:56","KESPIRITU","0.00","1000.00"
"000006770","2020-02-29 14:44:51","KESPIRITU","0.00","300.00"
"000006771","2020-03-02 10:01:09","KESPIRITU","0.00","1000.00"
"000006772","2020-03-02 10:41:40","KESPIRITU","0.00","4000.00"
"000006773","2020-03-02 12:07:39","KESPIRITU","0.00","400.00"
"000006774","2020-03-02 10:15:12","KESPIRITU","0.00","1200.00"
"000006775","2020-03-02 10:06:36","KESPIRITU","0.00","200.00"
"000006776","2020-03-02 10:10:36","KESPIRITU","0.00","800.00"
"000006777","2020-03-02 10:43:41","KESPIRITU","0.00","500.00"
"000006778","2020-03-02 10:22:24","KESPIRITU","0.00","100.00"
"000006779","2020-03-02 10:29:47","KESPIRITU","0.00","400.00"
"000006780","2020-03-02 11:06:52","KESPIRITU","0.00","600.00"
"000006781","2020-03-02 11:20:13","KESPIRITU","0.00","800.00"
"000006782","2020-03-02 11:36:53","KESPIRITU","0.00","2000.00"
"000006783","2020-03-02 15:26:19","KESPIRITU","0.00","1500.00"
"000006784","2020-03-02 15:28:35","KESPIRITU","0.00","4000.00"
"000006785","2020-03-02 16:03:58","KESPIRITU","0.00","300.00"
"000006786","2020-03-02 16:07:39","KESPIRITU","0.00","500.00"
"000006787","2020-03-02 17:55:09","KESPIRITU","0.00","300.00"
"000006788","2020-03-02 17:59:53","KESPIRITU","0.00","2500.00"
"000006790","2020-03-02 19:14:47","KESPIRITU","0.00","1000.00"
"000006791","2020-03-03 12:03:45","KESPIRITU","0.00","500.00"
"000006792","2020-03-03 12:22:45","KESPIRITU","0.00","1000.00"
"000006793","2020-03-02 20:01:27","KESPIRITU","0.00","500.00"
"000006794","2020-03-03 10:36:33","KESPIRITU","0.00","500.00"
"000006795","2020-03-03 10:46:08","KESPIRITU","0.00","500.00"
"000006796","2020-03-03 10:43:44","KESPIRITU","0.00","600.00"
"000006797","2020-03-03 10:16:53","KESPIRITU","0.00","200.00"
"000006798","2020-03-03 11:20:29","KESPIRITU","0.00","300.00"
"000006799","2020-03-03 10:23:37","KESPIRITU","0.00","500.00"
"000006801","2020-03-03 10:58:56","KESPIRITU","0.00","1000.00"
"000006802","2020-03-03 11:22:49","KESPIRITU","0.00","200.00"
"000006803","2020-03-03 16:48:58","KESPIRITU","0.00","500.00"
"000006804","2020-03-03 11:36:10","KESPIRITU","0.00","1000.00"
"000006805","2020-03-03 11:07:20","KESPIRITU","0.00","350.00"
"000006806","2020-03-03 13:13:53","KESPIRITU","0.00","1000.00"
"000006807","2020-03-03 12:55:56","KESPIRITU","0.00","300.00"
"000006808","2020-03-03 11:03:22","KESPIRITU","0.00","700.00"
"000006809","2020-03-03 10:52:31","KESPIRITU","0.00","200.00"
"000006810","2020-03-03 10:57:33","KESPIRITU","0.00","200.00"
"000006811","2020-03-03 11:56:53","KESPIRITU","0.00","1200.00"
"000006812","2020-03-03 11:45:06","KESPIRITU","0.00","1200.00"
"000006813","2020-03-03 18:18:17","KESPIRITU","0.00","300.00"
"000006814","2020-03-03 17:39:39","KESPIRITU","0.00","500.00"
"000006815","2020-03-04 15:53:33","KESPIRITU","0.00","300.00"
"000006816","2020-03-04 09:34:12","KESPIRITU","0.00","700.00"
"000006817","2020-03-04 10:05:56","KESPIRITU","0.00","100.00"
"000006818","2020-03-04 10:11:46","KESPIRITU","0.00","800.00"
"000006819","2020-03-04 09:59:03","KESPIRITU","0.00","700.00"
"000006822","2020-03-04 15:51:02","KESPIRITU","0.00","800.00"
"000006823","2020-03-04 17:16:45","KESPIRITU","0.00","500.00"
"000006824","2020-03-04 17:44:28","KESPIRITU","0.00","3000.00"
"000006825","2020-03-05 11:27:05","KESPIRITU","0.00","1500.00"
"000006826","2020-03-05 11:43:32","KESPIRITU","0.00","1000.00"
"000006827","2020-03-05 11:33:39","KESPIRITU","0.00","1500.00"
"000006829","2020-03-05 11:30:00","KESPIRITU","0.00","700.00"
"000006830","2020-03-05 11:49:54","KESPIRITU","0.00","400.00"
"000006832","2020-03-05 16:35:07","KESPIRITU","0.00","200.00"
"000006833","2020-03-05 11:55:58","KESPIRITU","0.00","1000.00"
"000006835","2020-03-05 11:40:52","KESPIRITU","0.00","500.00"
"000006836","2020-03-05 11:26:23","KESPIRITU","0.00","400.00"
"000006837","2020-03-05 11:36:56","KESPIRITU","0.00","500.00"
"000006838","2020-03-05 12:17:11","KESPIRITU","0.00","600.00"
"000006839","2020-03-05 11:23:26","KESPIRITU","0.00","300.00"
"000006840","2020-03-05 11:45:52","KESPIRITU","0.00","1000.00"
"000006841","2020-03-06 15:51:32","KESPIRITU","0.00","300.00"
"000006842","2020-03-05 11:21:04","KESPIRITU","0.00","2000.00"
"000006843","2020-03-05 10:41:57","KESPIRITU","0.00","500.00"
"000006844","2020-03-05 10:36:31","KESPIRITU","0.00","100.00"
"000006845","2020-03-05 13:06:41","KESPIRITU","0.00","300.00"
"000006846","2020-03-05 12:17:27","KESPIRITU","0.00","500.00"
"000006848","2020-03-05 19:06:23","KESPIRITU","0.00","1000.00"
"000006849","2020-03-06 10:20:28","KESPIRITU","0.00","600.00"
"000006850","2020-03-09 11:29:33","KESPIRITU","0.00","400.00"
"000006851","2020-03-05 18:43:52","KESPIRITU","0.00","1000.00"
"000006852","2020-03-05 18:50:54","KESPIRITU","0.00","500.00"
"000006853","2020-03-05 19:47:40","KESPIRITU","0.00","500.00"
"000006854","2020-03-06 11:41:07","KESPIRITU","0.00","500.00"
"000006855","2020-03-06 10:17:56","KESPIRITU","0.00","500.00"
"000006856","2020-03-06 10:46:46","KESPIRITU","0.00","700.00"
"000006858","2020-03-06 10:52:49","KESPIRITU","0.00","500.00"
"000006859","2020-03-06 15:34:44","KESPIRITU","0.00","700.00"
"000006860","2020-03-06 12:03:10","KESPIRITU","0.00","300.00"
"000006861","2020-03-06 12:18:06","KESPIRITU","0.00","500.00"
"000006863","2020-03-06 17:18:47","KESPIRITU","0.00","500.00"
"000006864","2020-03-06 15:37:40","KESPIRITU","0.00","300.00"
"000006865","2020-03-06 18:45:44","KESPIRITU","0.00","40000.00"
"000006866","2020-03-06 17:34:44","KESPIRITU","0.00","500.00"
"000006868","2020-03-07 12:00:19","KESPIRITU","0.00","500.00"
"000006869","2020-03-07 11:29:53","KESPIRITU","0.00","500.00"
"000006870","2020-03-06 19:54:02","KESPIRITU","0.00","300.00"
"000006871","2020-03-06 20:34:54","KESPIRITU","0.00","500.00"
"000006872","2020-03-07 09:59:16","KESPIRITU","0.00","700.00"
"000006873","2020-03-07 10:00:29","KESPIRITU","0.00","1000.00"
"000006874","2020-03-07 10:58:37","KESPIRITU","0.00","300.00"
"000006875","2020-03-07 14:08:36","KESPIRITU","0.00","300.00"
"000006876","2020-03-07 11:26:12","KESPIRITU","0.00","700.00"
"000006877","2020-03-07 11:14:53","KESPIRITU","0.00","700.00"
"000006878","2020-03-07 11:09:26","KESPIRITU","0.00","500.00"
"000006879","2020-03-07 10:50:10","KESPIRITU","0.00","300.00"
"000006880","2020-03-07 10:56:22","KESPIRITU","0.00","300.00"
"000006881","2020-03-07 13:41:29","KESPIRITU","0.00","500.00"
"000006882","2020-03-07 09:55:05","KESPIRITU","0.00","500.00"
"000006883","2020-03-07 09:50:24","KESPIRITU","0.00","500.00"
"000006884","2020-03-07 11:27:49","KESPIRITU","0.00","1000.00"
"000006885","2020-03-10 11:26:02","KESPIRITU","0.00","500.00"
"000006886","2020-03-07 12:14:03","KESPIRITU","0.00","500.00"
"000006887","2020-03-11 17:07:53","KESPIRITU","0.00","400.00"
"000006888","2020-03-07 10:55:23","KESPIRITU","0.00","300.00"
"000006889","2020-03-07 11:15:30","KESPIRITU","0.00","400.00"
"000006890","2020-03-07 09:37:59","KESPIRITU","0.00","5000.00"
"000006891","2020-03-07 10:57:38","KESPIRITU","0.00","100.00"
"000006892","2020-03-07 10:52:17","KESPIRITU","0.00","300.00"
"000006893","2020-03-07 10:54:55","KESPIRITU","0.00","400.00"
"000006894","2020-03-07 11:45:48","KESPIRITU","0.00","400.00"
"000006895","2020-03-07 11:17:22","KESPIRITU","0.00","300.00"
"000006896","2020-03-07 11:34:31","KESPIRITU","0.00","300.00"
"000006897","2020-03-09 11:50:42","KESPIRITU","0.00","1000.00"
"000006898","2020-03-09 11:37:34","KESPIRITU","0.00","300.00"
"000006899","2020-03-09 11:21:26","KESPIRITU","0.00","2000.00"
"000006900","2020-03-09 11:40:22","KESPIRITU","0.00","900.00"
"000006901","2020-03-09 12:01:52","KESPIRITU","0.00","500.00"
"000006902","2020-03-09 11:10:25","KESPIRITU","0.00","400.00"
"000006903","2020-03-09 16:04:36","KESPIRITU","0.00","500.00"
"000006904","2020-03-09 11:47:35","KESPIRITU","0.00","400.00"
"000006905","2020-03-09 11:16:00","KESPIRITU","0.00","500.00"
"000006906","2020-03-09 11:36:39","KESPIRITU","0.00","150.00"
"000006907","2020-03-09 12:02:18","KESPIRITU","0.00","100.00"
"000006908","2020-03-09 11:57:28","KESPIRITU","0.00","1000.00"
"000006909","2020-03-09 15:57:25","KESPIRITU","0.00","400.00"
"000006910","2020-03-09 17:22:42","KESPIRITU","0.00","500.00"
"000006911","2020-03-09 13:31:20","KESPIRITU","0.00","1500.00"
"000006912","2020-03-10 15:38:39","KESPIRITU","0.00","500.00"
"000006913","2020-03-09 17:37:25","KESPIRITU","0.00","500.00"
"000006914","2020-03-09 16:45:12","KESPIRITU","0.00","1000.00"
"000006915","2020-03-09 20:14:01","KESPIRITU","0.00","250.00"
"000006917","2020-03-10 11:53:13","KESPIRITU","0.00","500.00"
"000006918","2020-03-10 11:53:38","KESPIRITU","0.00","200.00"
"000006919","2020-03-10 11:52:18","KESPIRITU","0.00","1500.00"
"000006920","2020-03-10 11:51:54","KESPIRITU","0.00","7000.00"
"000006921","2020-03-10 11:50:14","KESPIRITU","0.00","2000.00"
"000006922","2020-03-11 10:39:04","KESPIRITU","0.00","800.00"
"000006923","2020-03-10 11:58:23","KESPIRITU","0.00","100.00"
"000006924","2020-03-10 12:31:10","KESPIRITU","0.00","600.00"
"000006925","2020-03-10 10:27:56","KESPIRITU","0.00","300.00"
"000006926","2020-03-11 11:50:14","KESPIRITU","0.00","400.00"
"000006927","2020-03-10 12:08:22","KESPIRITU","0.00","600.00"
"000006928","2020-03-10 11:21:05","KESPIRITU","0.00","5000.00"
"000006929","2020-03-10 16:10:47","KESPIRITU","0.00","400.00"
"000006930","2020-03-10 12:03:56","KESPIRITU","0.00","800.00"
"000006931","2020-03-10 11:57:53","KESPIRITU","0.00","1000.00"
"000006932","2020-03-10 10:24:54","KESPIRITU","0.00","1500.00"
"000006933","2020-03-11 16:37:54","KESPIRITU","0.00","500.00"
"000006934","2020-03-10 16:46:44","KESPIRITU","0.00","1000.00"
"000006935","2020-03-10 11:30:04","KESPIRITU","0.00","4000.00"
"000006936","2020-03-10 10:19:38","KESPIRITU","0.00","1000.00"
"000006937","2020-03-10 11:59:05","KESPIRITU","0.00","14000.00"
"000006938","2020-03-10 12:59:33","KESPIRITU","0.00","1500.00"
"000006939","2020-03-11 11:46:49","KESPIRITU","0.00","800.00"
"000006940","2020-03-11 11:41:49","KESPIRITU","0.00","4000.00"
"000006941","2020-03-10 17:53:37","KESPIRITU","0.00","500.00"
"000006942","2020-03-11 10:12:07","KESPIRITU","0.00","700.00"
"000006943","2020-03-10 18:16:57","KESPIRITU","0.00","500.00"
"000006944","2020-03-11 10:35:53","KESPIRITU","0.00","1000.00"
"000006945","2020-03-11 18:35:00","KESPIRITU","0.00","700.00"
"000006946","2020-03-11 10:27:05","KESPIRITU","0.00","300.00"
"000006947","2020-03-11 19:46:36","KESPIRITU","0.00","2000.00"
"000006948","2020-03-11 10:53:13","KESPIRITU","0.00","2000.00"
"000006951","2020-03-11 10:40:48","KESPIRITU","0.00","1000.00"
"000006952","2020-03-11 11:37:07","KESPIRITU","0.00","1000.00"
"000006954","2020-03-11 12:47:18","KESPIRITU","0.00","500.00"
"000006955","2020-03-11 11:52:22","KESPIRITU","0.00","500.00"
"000006956","2020-03-11 11:28:40","KESPIRITU","0.00","400.00"
"000006957","2020-03-11 13:00:11","KESPIRITU","0.00","500.00"
"000006958","2020-03-11 11:18:31","KESPIRITU","0.00","500.00"
"000006959","2020-03-12 11:50:58","KESPIRITU","0.00","300.00"
"000006960","2020-03-12 12:43:55","KESPIRITU","0.00","300.00"
"000006962","2020-03-12 10:24:07","KESPIRITU","0.00","700.00"
"000006963","2020-03-12 18:54:22","KESPIRITU","0.00","400.00"
"000006964","2020-03-12 10:22:40","KESPIRITU","0.00","1500.00"
"000006965","2020-03-12 10:25:13","KESPIRITU","0.00","1000.00"
"000006966","2020-03-12 10:16:29","KESPIRITU","0.00","600.00"
"000006967","2020-03-12 10:20:33","KESPIRITU","0.00","800.00"
"000006968","2020-03-12 10:17:44","KESPIRITU","0.00","150.00"
"000006969","2020-03-12 11:54:50","KESPIRITU","0.00","800.00"
"000006970","2020-03-12 10:28:11","KESPIRITU","0.00","300.00"
"000006971","2020-03-13 11:15:40","KESPIRITU","0.00","300.00"
"000006972","2020-03-12 11:44:07","KESPIRITU","0.00","300.00"
"000006973","2020-03-12 10:37:41","KESPIRITU","0.00","300.00"
"000006974","2020-03-12 10:26:52","KESPIRITU","0.00","1200.00"
"000006975","2020-03-12 10:22:09","KESPIRITU","0.00","700.00"
"000006976","2020-03-12 10:30:03","KESPIRITU","0.00","500.00"
"000006977","2020-03-12 11:48:40","KESPIRITU","0.00","500.00"
"000006978","2020-03-12 11:17:36","KESPIRITU","0.00","1400.00"
"000006979","2020-03-12 11:21:01","KESPIRITU","0.00","800.00"
"000006980","2020-03-12 11:58:06","KESPIRITU","0.00","1000.00"
"000006981","2020-03-12 20:23:10","KESPIRITU","0.00","500.00"
"000006982","2020-03-13 11:39:10","KESPIRITU","0.00","500.00"
"000006983","2020-03-13 11:19:53","KESPIRITU","0.00","700.00"
"000006984","2020-03-13 11:55:03","KESPIRITU","0.00","1000.00"
"000006985","2020-03-12 18:38:04","KESPIRITU","0.00","700.00"
"000006986","2020-03-13 11:00:58","KESPIRITU","0.00","1000.00"
"000006987","2020-03-13 10:59:51","KESPIRITU","0.00","1050.00"
"000006988","2020-03-13 10:57:35","KESPIRITU","0.00","600.00"
"000006989","2020-03-13 11:14:04","KESPIRITU","0.00","700.00"
"000006991","2020-03-13 11:34:56","KESPIRITU","0.00","2000.00"
"000006992","2020-03-13 11:41:51","KESPIRITU","0.00","1000.00"
"000006994","2020-03-13 10:34:47","KESPIRITU","0.00","1000.00"
"000006995","2020-03-13 10:44:20","KESPIRITU","0.00","2500.00"
"000006996","2020-03-13 11:35:28","KESPIRITU","0.00","200.00"
"000006997","2020-03-13 10:19:07","KESPIRITU","0.00","500.00"
"000007000","2020-03-13 10:22:29","KESPIRITU","0.00","800.00"
"000007001","2020-03-13 10:31:14","KESPIRITU","0.00","800.00"
"000007002","2020-03-13 10:58:01","KESPIRITU","0.00","400.00"
"000007003","2020-03-13 12:30:41","KESPIRITU","0.00","1800.00"
"000007004","2020-03-13 10:35:25","KESPIRITU","0.00","500.00"
"000007005","2020-03-13 12:02:57","KESPIRITU","0.00","300.00"
"000007006","2020-03-13 12:12:10","KESPIRITU","0.00","600.00"
"000007007","2020-03-13 11:12:48","KESPIRITU","0.00","600.00"
"000007008","2020-03-13 11:22:01","KESPIRITU","0.00","300.00"
"000007009","2020-03-13 11:09:04","KESPIRITU","0.00","100.00"
"000007011","2020-03-13 12:13:02","KESPIRITU","0.00","1100.00"
"000007012","2020-03-13 12:10:20","KESPIRITU","0.00","200.00"
"000007013","2020-03-13 12:20:08","KESPIRITU","0.00","200.00"
"000007014","2020-03-14 12:34:04","KESPIRITU","0.00","300.00"
"000007015","2020-03-13 16:49:53","KESPIRITU","0.00","1000.00"
"000007016","2020-03-14 12:48:57","KESPIRITU","0.00","1000.00"
"000007017","2020-03-14 11:31:57","KESPIRITU","0.00","300.00"
"000007018","2020-03-13 19:25:06","KESPIRITU","0.00","500.00"
"000007019","2020-03-14 10:21:44","KESPIRITU","0.00","500.00"
"000007020","2020-03-13 19:24:42","KESPIRITU","0.00","100.00"
"000007021","2020-03-14 10:16:55","KESPIRITU","0.00","700.00"
"000007022","2020-03-14 09:43:02","KESPIRITU","0.00","300.00"
"000007023","2020-03-14 09:43:36","KESPIRITU","0.00","500.00"
"000007024","2020-03-14 11:26:21","KESPIRITU","0.00","800.00"
"000007025","2020-03-14 10:41:17","KESPIRITU","0.00","800.00"
"000007026","2020-03-14 09:57:25","KESPIRITU","0.00","1000.00"
"000007027","2020-03-14 10:16:30","KESPIRITU","0.00","400.00"
"000007028","2020-03-14 11:09:42","KESPIRITU","0.00","300.00"
"000007029","2020-03-14 11:14:32","KESPIRITU","0.00","2000.00"
"000007030","2020-03-14 11:04:08","KESPIRITU","0.00","500.00"
"000007031","2020-03-14 10:55:11","KESPIRITU","0.00","1000.00"
"000007032","2020-03-14 14:58:14","KESPIRITU","0.00","1000.00"
"000007033","2020-03-14 10:11:52","KESPIRITU","0.00","100.00"
"000007034","2020-03-14 12:32:58","KESPIRITU","0.00","700.00"
"000007035","2020-03-14 10:09:47","KESPIRITU","0.00","200.00"
"000007036","2020-03-14 10:13:03","KESPIRITU","0.00","100.00"
"000007037","2020-03-14 10:47:53","KESPIRITU","0.00","600.00"
"000007038","2020-03-14 10:38:24","KESPIRITU","0.00","14000.00"
"000007039","2020-03-14 10:20:32","KESPIRITU","0.00","1000.00"
"000007040","2020-03-14 10:11:01","KESPIRITU","0.00","150.00"
"000007042","2020-03-14 11:15:35","KESPIRITU","0.00","2000.00"
"000007044","2020-03-14 13:21:04","KESPIRITU","0.00","700.00"
"000007045","2020-03-14 14:11:42","KESPIRITU","0.00","100.00"
"000007047","2020-03-16 10:23:41","KESPIRITU","0.00","2200.00"
"000007048","2020-05-28 13:39:36","KESPIRITU","0.00","40000.00"
"000007049","2020-04-29 11:21:53","KESPIRITU","0.00","300.00"
"000007050","2020-04-29 11:24:26","KESPIRITU","0.00","2000.00"
"000007051","2020-05-04 10:37:12","KESPIRITU","0.00","200.00"
"000007052","2020-05-05 10:52:54","KESPIRITU","0.00","1000.00"
"000007053","2020-05-05 14:02:01","KESPIRITU","0.00","2000.00"
"000007054","2020-05-07 11:15:32","KESPIRITU","0.00","1600.00"
"000007055","2020-05-08 10:47:19","KESPIRITU","0.00","600.00"
"000007056","2020-05-08 10:53:39","KESPIRITU","0.00","1500.00"
"000007057","2020-05-09 12:53:24","KESPIRITU","0.00","1000.00"
"000007058","2020-05-11 11:22:17","KESPIRITU","0.00","3000.00"
"000007059","2020-05-11 11:09:54","KESPIRITU","0.00","3000.00"
"000007060","2020-05-11 11:04:43","KESPIRITU","0.00","3000.00"
"000007061","2020-05-11 11:16:33","KESPIRITU","0.00","300.00"
"000007062","2020-05-11 13:11:46","KESPIRITU","0.00","300.00"
"000007063","2020-05-13 13:00:22","KESPIRITU","0.00","1200.00"
"000007064","2020-05-14 10:15:09","KESPIRITU","0.00","500.00"
"000007065","2020-05-14 11:26:25","KESPIRITU","0.00","700.00"
"000007066","2020-05-14 14:16:11","KESPIRITU","0.00","350.00"
"000007067","2020-05-15 13:11:15","KESPIRITU","0.00","2500.00"
"000007068","2020-05-16 11:29:05","KESPIRITU","0.00","400.00"
"000007069","2020-05-16 10:05:34","KESPIRITU","0.00","1512.00"
"000007070","2020-05-18 11:32:20","KESPIRITU","0.00","5000.00"
"000007071","2020-05-16 11:30:14","KESPIRITU","0.00","3000.00"
"000007072","2020-05-16 10:46:13","KESPIRITU","0.00","300.00"
"000007073","2020-05-18 10:34:26","KESPIRITU","0.00","100.00"
"000007074","2020-05-16 12:58:47","KESPIRITU","0.00","3000.00"
"000007075","2020-05-18 11:32:55","KESPIRITU","0.00","1000.00"
"000007076","2020-05-19 12:20:01","KESPIRITU","0.00","500.00"
"000007077","2020-05-18 13:57:01","KESPIRITU","0.00","1000.00"
"000007078","2020-05-19 10:15:36","KESPIRITU","0.00","600.00"
"000007079","2020-05-19 11:54:23","KESPIRITU","0.00","500.00"
"000007080","2020-05-19 12:04:06","KESPIRITU","0.00","200.00"
"000007081","2020-05-19 12:08:00","KESPIRITU","0.00","300.00"
"000007082","2020-05-20 11:30:09","KESPIRITU","0.00","600.00"
"000007086","2020-05-20 11:48:12","KESPIRITU","0.00","300.00"
"000007087","2020-05-20 13:09:56","KESPIRITU","0.00","500.00"
"000007088","2020-05-21 10:55:40","KESPIRITU","0.00","400.00"
"000007089","2020-05-21 11:36:11","KESPIRITU","0.00","3000.00"
"000007090","2020-05-21 13:56:16","KESPIRITU","0.00","100.00"
"000007091","2020-05-23 10:31:18","KESPIRITU","0.00","1000.00"
"000007092","2020-05-23 10:46:23","KESPIRITU","0.00","500.00"
"000007093","2020-05-23 12:43:16","KESPIRITU","0.00","500.00"
"000007094","2020-05-25 11:40:42","KESPIRITU","0.00","500.00"
"000007095","2020-05-25 10:55:53","KESPIRITU","0.00","800.00"
"000007096","2020-05-25 11:18:26","KESPIRITU","0.00","2000.00"
"000007097","2020-05-26 10:45:09","KESPIRITU","0.00","1500.00"
"000007098","2020-05-26 10:47:01","KESPIRITU","0.00","1000.00"
"000007099","2020-05-26 10:49:09","KESPIRITU","0.00","500.00"
"000007100","2020-05-26 11:08:54","KESPIRITU","0.00","500.00"
"000007101","2020-05-27 11:33:22","KESPIRITU","0.00","1000.00"
"000007102","2020-05-27 11:40:22","KESPIRITU","0.00","250.00"
"000007103","2020-05-26 14:09:14","KESPIRITU","0.00","20000.00"
"000007104","2020-05-26 14:30:20","KESPIRITU","0.00","700.00"
"000007105","2020-05-27 11:42:15","KESPIRITU","0.00","1500.00"
"000007106","2020-05-27 13:11:51","KESPIRITU","0.00","800.00"
"000007107","2020-05-27 12:44:17","KESPIRITU","0.00","1500.00"
"000007108","2020-05-27 13:44:32","KESPIRITU","0.00","150.00"
"000007109","2020-05-28 13:34:43","KESPIRITU","0.00","2500.00"
"000007110","2020-05-28 11:23:55","KESPIRITU","0.00","600.00"
"000007111","2020-05-28 14:04:55","KESPIRITU","0.00","2000.00"
"000007112","2020-05-28 11:03:11","KESPIRITU","0.00","1000.00"
"000007113","2020-05-29 10:51:49","KESPIRITU","0.00","1000.00"
"000007114","2020-05-30 11:20:36","KESPIRITU","0.00","400.00"
"000007115","2020-05-29 12:36:14","KESPIRITU","0.00","1000.00"
"000007116","2020-05-29 14:39:55","KESPIRITU","0.00","400.00"
"000007117","2020-05-30 12:32:15","KESPIRITU","0.00","3000.00"
"000007118","2020-05-30 12:39:43","KESPIRITU","0.00","2190.00"
"000007119","2020-05-30 13:09:24","KESPIRITU","0.00","100.00"
"000007120","2020-06-01 16:59:05","KESPIRITU","0.00","2000.00"
"000007121","2020-06-01 16:58:11","KESPIRITU","0.00","500.00"
"000007122","2020-06-02 10:02:48","KESPIRITU","0.00","800.00"
"000007123","2020-06-02 09:57:28","KESPIRITU","0.00","1000.00"
"000007124","2020-06-02 10:17:34","KESPIRITU","0.00","1000.00"
"000007125","2020-06-02 10:31:04","KESPIRITU","0.00","1000.00"
"000007126","2020-06-03 10:23:48","KESPIRITU","0.00","400.00"
"000007127","2020-06-03 10:25:30","KESPIRITU","0.00","1000.00"
"000007128","2020-06-03 10:00:47","KESPIRITU","0.00","1000.00"
"000007129","2020-06-03 09:56:44","KESPIRITU","0.00","3000.00"
"000007130","2020-06-03 10:31:47","KESPIRITU","0.00","1000.00"
"000007131","2020-06-03 15:47:38","KESPIRITU","0.00","1000.00"
"000007133","2020-06-04 10:19:50","KESPIRITU","0.00","1000.00"
"000007134","2020-06-04 10:24:47","KESPIRITU","0.00","300.00"
